微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,,,,,,,,,,
ImqJW2fvf,【2019最差密码曝光 你中招了吗？】近日，年度最差密码列表公布，“12345”以被破解280万次位居第一，111111、123321及password等密码均榜上有名，此外如纪念日生日、车牌门牌等也极易被破解。安全专家表示要设置多套复杂密码，开通多重认证。转存自查！荔直播的秒拍视频  ,,无,无,无,12/25/19 18:51,紫宝宝的Android,306,54,147,,,,,,,,,,
Imr3bukwC,"【有颗行星，以他的名字命名】1924年的今天，朱光亚出生于湖北宜昌。他是中国核科学事业的主要开拓者之一，""两弹一星""元勋。26岁，他拒绝美国邀请，毅然回国。途中，他与51名留美同学联名发出公开信：""我们的民族再也不是一个被人侮辱的民族了！回去吧，祖国在迫切地等待着我们！""致敬！  [组图共2张] 原图 ",,"http://ww1.sinaimg.cn/large/005Y2yg1ly1ga96v4fw6nj30dw0aft8z.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1ga97b3kxsrj30f621278q.jpg",无,无,12/25/19 19:38,紫宝宝的Android,1417,175,141,,,,,,,,,,
Imrdr6sFX,"【除夕火车票明日开售！收好抢票攻略】明天（26日），2020除夕火车票正式开售，抢票大战进入白热化阶段！车票""秒光""？试试""候补购票服务""功能，或者记住这些退票高峰时段，""捡漏""成功率很高；需要注意，不同的火车站火车票起售时间并不相同。收好抢票时间表+电子客票使用指南↓转存，有用！图/人民日报  [组图共9张] 原图 ",,"http://ww2.sinaimg.cn/large/005Y2yg1ly1ga8uvd5o6oj30go0q3q6z.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1ga8uvdlnw9j30go0q3jv6.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1ga8uvdy39sj30go0jhq5q.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1ga8uveb5nvj30go0j30v7.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1ga8uverhfhj30go1avag5.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1ga8uvfgk9lj30go1d20yf.jpg,http://ww1.sinaimg.cn/large/005Y2yg1ly1ga8uvg3wzjj30go0yigq1.jpg,http://ww1.sinaimg.cn/large/005Y2yg1ly1ga8uvgzyjwj30go1bt459.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1ga8uvhg6qcj30go0pn0wp.jpg",无,无,12/25/19 20:04,紫宝宝的Android,207,63,90,,,,,,,,,,
ImrBlhPlu,【医学生的期末日常： 课本半米高，有人通宵复习】21日，安徽医科大学的学生都在备战期末考试，有人甚至通宵复习。学生称，一学期的专业课课本有50公分高。《系统解剖学》等课本因封面都是蓝色，被称为“蓝色生死恋”，医学1本书3000个知识点，根本背不完一手video的秒拍视频  ,,无,无,无,12/25/19 21:03,紫宝宝的Android,1447,125,320,,,,,,,,,,
ImrTOBz9F,"【别错过！金环日食明日上演 我国大部地区抬头可见】26日，本年度唯一一次天象奇观日环食将上演，太阳中心部分黑暗、边缘明亮，金光灿灿犹如一只""金指环""，被称作金环日食。预计整个日食过程将持续两到三个小时，北京地区出现食甚时间为13点47分。@ 小伙伴，一起期待新京报我们视频的秒拍视频晚安！  ",,无,无,无,12/25/19 21:48,紫宝宝的Android,1061,359,338,,,,,,,,,,
ImsME0NPh,他说，历史是人民创造的！他说，世界是你们的，也是我们的，但是归根结底是你们的！他说，一切反动派都是纸老虎！他说，人民万岁！……今天，毛泽东同志诞辰126周年…转发，致敬！共青团中央的秒拍视频  ,,无,无,无,12/26/19 0:03,紫宝宝的Android,48237,23951,4591,,,,,,,,,,
Imwv9qFVk,【他又顺着网线来了，这次中国消防连气象局也没放过】24日，中国气象局主办的@中国天气 发的一条“用小太阳烤jio”的微博引起了不少网友共鸣。但也有网友提醒要注意用电安全，还有人直接艾特了擅长顺着网线捞鱼的@中国消防 ，果然不久后，阿消就顺着网线来了...网友：该来的总会来的！  [组图共4张] 原图 ,,"http://ww3.sinaimg.cn/large/005Y2yg1ly1ga9szi5xhoj30hz0bgaai.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1ga9szime37j30u00e30uw.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1ga9szjtns9j30u0110dj0.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1ga9szjbm8aj30u01ddqal.jpg",无,无,12/26/19 9:31,紫宝宝的Android,2209,181,255,,,,,,,,,,
Imx1XjVIJ,【好听又魔性，人民海军版野狼disco】“大航母，歼-15，一起一落刀尖舞”“三公里，跑第一，岗位练兵007，实弹靶场英勇射击，训练场上正步踢，不管多累都不能够停留在原地…”翻唱怎能少了DJ深蓝砺剑，来，一起跟着@人民海军 抬起头，左手右手争上游！http://t.cn/Aik8PAE4  ,,无,无,无,12/26/19 10:52,紫宝宝的Android,1059,220,134,,,,,,,,,,
Imxtodcap,【痛心！铜陵24岁辅警执勤中被撞牺牲】据@铜陵公安在线：24日晚，安徽铜陵交警支队二大队开展酒驾查处统一行动，执勤民警陈玉国、刘涛，辅警马勇、王军被一小型越野车撞倒，辅警马勇经抢救无效不幸牺牲，年仅24岁。其他三人不同程度受伤。驾驶员赵某及车辆已被控制，初步检测排除酒驾毒驾嫌疑…  原图 ,,http://wx1.sinaimg.cn/large/005Y2yg1ly1ga9znuoqquj30t615ojuk.jpg,无,无,12/26/19 11:59,紫宝宝的Android,626,74,227,,,,,,,,,,
ImxKn0UHs,【2019学霸们的神操作】笔记本堪比教科书、拿奖拿到手抽筋、高考总分730、答辩现场神仙打架……2019学霸们的神操作一波又一波，不少网友调侃“感觉自己是凑数的”。但其实，学霸们毫不费力的背后，是非常努力的付出。把握当下，你也能够闪闪发光！2020，一起加油！人民日报的微博视频  ,,无,无,无,12/26/19 12:41,紫宝宝的Android,639,153,100,,,,,,,,,,
ImyaFxJy4,【有妈的孩子像块宝！8旬母亲给5旬儿子的惊喜】12月16日，辽宁鞍山，五十多岁的包先生不慎骨折。没想到外甥告诉85岁的母亲后，她独自坐了一百多公里的车，偷偷赶来看儿子，还做了一桌菜。包先生感慨，希望这种“夹杂着惊吓的惊喜”能陪他走得越来越远！一手video的秒拍视频  ,,无,无,无,12/26/19 13:46,紫宝宝的Android,1621,137,168,,,,,,,,,,
ImyAgAt6A,【21岁男生熬夜打游戏患心梗，重要血管已闭塞】近日，成都一21岁男生称心口闷痛，医生通过心电图反复几次检查，确定他患上急性心梗，重要血管已闭塞，医生从他体内抽吸出大量血栓。据了解，小伙常熬夜打游戏，不爱运动，血脂指标超高，目前已基本康复。提醒：少熬夜多运动！一手video的秒拍视频  ,,无,无,无,12/26/19 14:49,紫宝宝的Android,331,101,196,,,,,,,,,,
Imz3125Oz,【厉害！中国高铁里程将突破三万五千公里】到2019年底，中国高铁里程将突破3.5万公里，中国高铁里程在全球占比超2/3。2019年，我国新增高铁运营里程5000多公里，中国每3位铁路出行旅客2位选择高铁。山东临沂等多个革命老区和贫困地区首次开通高铁。点赞！http://t.cn/AikFz5gk  原图 ,,http://wx1.sinaimg.cn/large/005Y2yg1ly1gaa43bufazj30b408xdg1.jpg,无,无,12/26/19 16:00,紫宝宝的Android,489,81,121,,,,,,,,,,
ImznuboZg,【久坐易致血栓等症状！3个动作教你缓解！】提醒：久坐不动可能导致下肢血流迟缓，造成血栓，严重时可导致猝死！别担心，戳视频↓↓三个动作可以有效缓解血液淤滞。拒绝久坐，多运动运动吧～遇见好生活的秒拍视频  ,,无,无,无,12/26/19 16:50,紫宝宝的Android,282,191,60,,,,,,,,,,
ImzR3qHw9,【羡慕了！拄着拐杖也要一起玩跷跷板的友情】23日，一段老奶奶跟闺蜜拄拐玩跷跷板的视频走红。拍摄者黄同学说，当时看到两位老奶奶拄着拐杖一起玩跷跷板，觉得很可爱，就拍下视频发到网上。网友：这是什么神仙友情！@ 你的闺蜜，做个约定吧有料的秒拍视频  ,,无,无,无,12/26/19 18:03,紫宝宝的Android,950,134,281,,,,,,,,,,
ImA7GDsW2,解放军首艘国产航母山东舰编队今天下午穿越台湾海峡！（环球时报）  原图 ,,http://wx4.sinaimg.cn/large/005Y2yg1ly1gaab8ve9dcj30qo0qo75m.jpg,无,无,12/26/19 18:44,紫宝宝的Android,7471,784,909,,,,,,,,,,
ImAnd5oSS,【湖北孝感、四川宜宾相继发生地震！愿平安！🙏】今日18时45分在四川宜宾市珙县发生3.2级地震，震源深度8千米。此前9分钟，18时36分在湖北孝感市应城市发生4.9级地震，震源深度10千米。你有震感吗？  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/005Y2yg1ly1gaacgrz8ygj30j60eegnr.jpg,http://ww1.sinaimg.cn/large/005Y2yg1ly1gaacgshnkfj30m80gotaw.jpg",无,无,12/26/19 19:22,紫宝宝的Android,535,112,277,,,,,,,,,,
ImAXw8sy8,【中药协致歉 决定撤销对鸿茅药酒等药企表彰】12月26日，针对此前发生的《中国中药企业社会责任报告》发布引发相关舆情事件，中国中药协会正式发布致歉函，决定撤销本次表彰，纠正错误，规范管理！  原图 ,,http://wx1.sinaimg.cn/large/005Y2yg1ly1gaad9stllvj30qo0yngnw.jpg,无,无,12/26/19 20:52,紫宝宝的Android,2056,191,351,,,,,,,,,,
ImBnfdYC0,【重庆现现实版冰雪奇缘美景】天渐寒，雪渐盛，冷空气把重庆丰都南天湖从七彩森林，装扮成了梦幻的冰雪世界，看醉了…新华网的微博视频晚安！  ,,无,无,无,12/26/19 21:55,紫宝宝的Android,735,261,240,,,,,,,,,,
ImFkPiSAF,熊猫连打架都这么萌？小熊友：我熊掌的滋味哪是你说尝就尝的！网友：天啊，毛绒玩具打架了iPanda熊猫频道的微博视频早安！  ,,无,无,无,12/27/19 8:00,紫宝宝的Android,1790,456,390,,,,,,,,,,
ImFSgsL1H,【这一幕，太感动！消防员用身体挡住落石】近日，辽宁建平一处塌方现场，面对不断掉落的碎石，消防员一边用身体保护被困的工人，一边徒手挖开泥土。经过2个多小时的奋战，从死神手里将被困人员救出！辽宁朝阳消防的微博视频  ,,无,无,无,12/27/19 9:23,紫宝宝的Android,2292,231,351,,,,,,,,,,
ImGvyfhSI,美国防长埃斯珀称，中国已成为美国首要军事重点。国防部发言人吴谦回应：如果硬要把中国逼成“对手”，中国会做合格对手！央视新闻的微博视频  ,,无,无,无,12/27/19 10:59,紫宝宝的Android,1780,245,248,,,,,,,,,,
ImGUlEJLU,【最高法修改民事证据规定，今后微信微博聊天记录可作证据】依据12月26日公布的《最高人民法院关于修改<关于民事诉讼证据的若干规定>的决定》，今后微信微博聊天记录可作为证据。根据该决定，电子数据包括下列信息和电子文件：网页、博客、微博客等网络平台发布的信息；手机短信、电子邮件、即时通信、通讯群组等网络应用服务的通信信息；用户注册信息、身份认证信息、电子交易记录、通信记录、登录日志等信息；文档、图片、音频、视频、数字证书、计算机程序等电子文件；其他以数字化形式存储、处理、传输的能够证明案件事实的信息！（光明日报） 原图 ,,http://wx3.sinaimg.cn/large/005Y2yg1ly1gab5bbsixqj30j60j6wfe.jpg,无,无,12/27/19 12:01,紫宝宝的Android,821,281,167,,,,,,,,,,
ImGUlEJLU,【最高法修改民事证据规定，今后微信微博聊天记录可作证据】依据12月26日公布的《最高人民法院关于修改<关于民事诉讼证据的若干规定>的决定》，今后微信微博聊天记录可作为证据。根据该决定，电子数据包括下列信息和电子文件：网页、博客、微博客等网络平台发布的信息；手机短信、电子邮件、即时通信、通讯群组等网络应用服务的通信信息；用户注册信息、身份认证信息、电子交易记录、通信记录、登录日志等信息；文档、图片、音频、视频、数字证书、计算机程序等电子文件；其他以数字化形式存储、处理、传输的能够证明案件事实的信息！（光明日报）                  原图                             ,,http://wx3.sinaimg.cn/large/005Y2yg1ly1gab5bbsixqj30j60j6wfe.jpg,无,无,12/27/19 12:01,紫宝宝的Android,821,281,167,,,,,,,,,,
ImHdH5GeU,【太接地气！山东一80后博士副县长直播卖扒鸡】12月25日，山东济南商河县副县长王帅发布短视频，卖该县土特产“商河皇家扒鸡”。王帅是个80后，博士学历，视频中，他模仿某网红“魔性”带货，金句频出。据报道，视频发布后，2天卖出一千多只扒鸡。感受一下↓大众日报的微博视频  ,,无,无,无,12/27/19 12:48,紫宝宝的Android,2554,199,398,,,,,,,,,,
ImHPYaWig,【南京97岁教师17年捐40万助学 住房简陋17年未添新家具】12月23日，南京工业大学离休干部章丽华因病逝世，享年97岁。爱人胡松林教授2001年逝世，2002年章丽华拿出离休金和丈夫积蓄，以丈夫名义设立“胡松林奖学金”。17年来她捐出近40万元，资助60余名大学生。送送老人！新京报我们视频的秒拍视频  ,,无,无,无,12/27/19 14:23,紫宝宝的Android,2258,258,287,,,,,,,,,,
ImI4xbtxE,【3线齐发！一次性开通上百公里！来不及解释了，快上车！】12月27日上午10时，@中国铁建 投资建设的@成都地铁 5号线一、二期，10号线二期，有轨电车蓉2号线非首开段，一次性全部开通，创造全国最新纪录。深度融合古蜀文化、三国文化的成都地铁，各种典故名胜设计感爆棚↓↓中国铁建的微博视频  ,,无,无,无,12/27/19 14:58,紫宝宝的Android,641,89,193,,,,,,,,,,
ImIqCvAjJ,【广而告之！退热贴无法达到退烧效果】孩子感冒发烧时，很多家长会给孩子贴退热贴。医生表示：退热贴和用凉毛巾敷脑门效果差不多，无法真正帮助退热。孩子发烧，首选方法是服用退烧药，用药间隙可用温水洗澡缓解不适；如果孩子吃药咽不下去，可考虑使用栓剂，但剂量应遵医嘱用药！央视新闻的微博视频  ,,无,无,无,12/27/19 15:53,紫宝宝的Android,466,133,134,,,,,,,,,,
ImIOluLTj,【向责任感致敬！老师上课点名异常救一家5口】24日，云南镇雄，一小学早读时间，班主任发现一向准时的一名学生未到，其一年级的弟弟也未到校，老师立即开车到学生家，发现一家6口已昏迷，疑似煤气中毒。目前6岁的弟弟确认死亡，其他5人正在治疗中！一手video的秒拍视频  ,,无,无,无,12/27/19 16:51,紫宝宝的Android,1114,80,133,,,,,,,,,,
ImJis53ng,【祝贺！C919最后一架飞机完成首飞】27日，C919大型客机106架机从浦东机场第四跑道起飞，经2小时5分钟飞行，在完成30个试验点后返航，平稳降落浦东机场，顺利完成首飞。至此，6架C919试飞飞机全部投入试飞工作，项目正式进入“6机4地”大强度试飞阶段！人民日报的微博视频  ,,无,无,无,12/27/19 18:05,紫宝宝的Android,710,103,166,,,,,,,,,,
ImJZDgWZB,【交通运输部：严禁强制或变相强制车辆安装ETC】27日，在国务院新闻办公室发布会上，交通运输部公路局局长吴德金表示，严禁通过任何方式强制或变相强制车辆安装ETC，严禁以任何方式对未安装ETC的车辆通行高速设置障碍。交通运输部将督促各地整改各种不规范推广行为！（人民日报）  原图 ,,http://wx2.sinaimg.cn/large/005Y2yg1ly1gabfykc4zaj31420u0ako.jpg,无,无,12/27/19 19:52,紫宝宝的Android,1936,142,479,,,,,,,,,,
ImKfSiWuW,【如何拯救脱发？答案就在这里！】有人说，脱发已成为当代年轻人非常担忧的问题之一，为什么年轻人脱发越来越普遍？面对脱发，我们又该如何应对？看视频教程↓↓CCTV生活提示的微博视频  ,,无,无,无,12/27/19 20:32,紫宝宝的Android,415,201,184,,,,,,,,,,
ImKFuxu33,【北京检方经依法审查对在民航总医院内行凶的犯罪嫌疑人孙文斌批准逮捕】2019年12月27日，北京市人民检察院第三分院经依法审查，对在北京市朝阳区民航总医院急诊科抢救室内行凶的犯罪嫌疑人孙文斌，以涉嫌故意杀人罪批准逮捕！  原图 ,,http://wx2.sinaimg.cn/large/005Y2yg1ly1gablx09pl3j30u01cx11p.jpg,无,无,12/27/19 21:35,紫宝宝的Android,13006,1690,1570,,,,,,,,,,
ImKNObNeO,"长征五号遥三火箭发射成功，现场视频来啦！一睹""胖五""风采！祝贺！央视新闻的微博视频  ",,无,无,无,12/27/19 21:55,紫宝宝的Android,2471,848,440,,,,,,,,,,
ImOLkazR3,【过最野的期末，北师大版野狼Disco来了】在期末及新年到来之际，@北京师范大学 学生改编制作、重磅推出《野狼Disco（北师大版）》！谨以此首歌曲，为广大青子学生加油打气，愿大家在追求梦想的道路上拼搏进取，在奋斗中释放青春激情、追逐青春理想！北京师范大学学生工作部的微博视频早安！  ,,无,无,无,12/28/19 8:00,紫宝宝的Android,1214,225,178,,,,,,,,,,
ImPprBTFX,【胖五发射成功！长知识：胖五为什么这么重要？】今晚，胖五一发定全局！长征系列火箭中胖五为什么得天独厚？他为什么只能选择海南文昌发射场？4个助推器、10台发动机的超豪华动力套餐让这个起飞质量已超800吨的“大家伙”顺利升空后，胖五还将发挥怎样的作用？戳视频中国科普博览的微博视频  ,,无,无,无,12/28/19 9:39,紫宝宝的Android,1015,293,200,,,,,,,,,,
ImPHhm5W2,"【小伙在父亲病床前办婚礼，了却父亲心愿】父亲患肝硬化情况不乐观，为了却父亲心愿，安徽池州小伙刘咏昭获得医院许可后，24日在重症室父亲病床前，举办了一场特殊婚礼，感动了现场很多医护人员。""感谢女友的理解，希望父亲能有所好转。""刘咏昭说，以后会补办一场正式的婚礼！新安晚报的微博视频  ",,无,无,无,12/28/19 10:23,紫宝宝的Android,1116,57,129,,,,,,,,,,
ImQ6pdMkd,【胖五发射成功瞬间 指挥大厅里的小姐姐笑着笑着就哭了】12月27日20时45分，长征五号遥三运载火箭在中国文昌航天发射场点火升空，2000多秒后将实践二十号卫星送入预定轨道，发射飞行试验取得圆满成功。在指挥大厅里，一名工作人员笑着笑着就哭了。致敬所有航天人！中青网新闻中心的微博视频  ,,无,无,无,12/28/19 11:25,紫宝宝的Android,2439,299,345,,,,,,,,,,
ImQq8yfOJ,【禁止威胁、危害医疗卫生人员人身安全！基本医疗卫生与健康促进法获通过】今天召开的十三届全国人大常委会第十五次会议上，基本医疗卫生与健康促进法获通过，将从2020年6月1日起施行。它是我国卫生健康领域内的第一部基础性、综合性的法律。其中明确规定：禁止任何组织和个人威胁、危害医疗卫生人员人身安全，侵犯医疗卫生人员人格尊严！（央视） 原图 ,,http://wx4.sinaimg.cn/large/005Y2yg1ly1gac9usrwsuj30qo0k075u.jpg,无,无,12/28/19 12:14,紫宝宝的Android,3342,473,668,,,,,,,,,,
ImQq8yfOJ,【禁止威胁、危害医疗卫生人员人身安全！基本医疗卫生与健康促进法获通过】今天召开的十三届全国人大常委会第十五次会议上，基本医疗卫生与健康促进法获通过，将从2020年6月1日起施行。它是我国卫生健康领域内的第一部基础性、综合性的法律。其中明确规定：禁止任何组织和个人威胁、危害医疗卫生人员人身安全，侵犯医疗卫生人员人格尊严！（央视）                  原图                             ,,http://wx4.sinaimg.cn/large/005Y2yg1ly1gac9usrwsuj30qo0k075u.jpg,无,无,12/28/19 12:14,紫宝宝的Android,3342,473,668,,,,,,,,,,
ImRxRjin2,"【警惕！医生表示近视无法治愈】最新报告显示，目前北京市小学一年级视力不良检出率已达到34%！专家介绍，600度以上近视大概率导致眼底病变甚至致盲！同仁医院眼科中心主任王宁利介绍：""一旦近视眼了，它是不可逆的，现在我们没有一个方法治愈近视眼…""你是近视吗？多少度？央视新闻的微博视频  ",,无,无,无,12/28/19 15:05,紫宝宝的Android,645,140,266,,,,,,,,,,
ImRQoqsKr,"【九旬退伍军人深藏功名70年 病床上的他却说：立功有什么了不起】近日，南京91岁老人栾友山病危，家人整理物品时，意外发现他参加西南战役的荣誉证明，还有荣获特等功、三等功奖状。被问及当年荣誉，病榻上的他却说""不能讲，不能天天讲""""立功有什么了不起""。网友：您真的了不起！荔直播的秒拍视频  ",,无,无,无,12/28/19 15:51,紫宝宝的Android,1304,146,176,,,,,,,,,,
ImSbG8XqB,【痛心！广西49岁驻村干部扶贫返程遇难：家中还有未满3岁孩子】26日，广西都安县地平村第一书记黄景教扶贫返程中遇车祸，不幸去世，年仅49岁。黄景教2016年2月被调到地平村任第一书记，2017年和2018年连续两年被评为优秀。他的一个孩子2017年出生，还不到三岁…走好！一手video的秒拍视频  ,,无,无,无,12/28/19 16:43,紫宝宝的Android,737,73,145,,,,,,,,,,
ImSA3gKeE,【京张高铁车票28日开售！180秒看京张高铁4年贯通路】据@中国铁路 30日，北京至张家口高速铁路开通运营，崇礼铁路同步建成投产。铁路部门将于28日18时开始发售京张高铁、崇礼铁路动车组列车车票，全线长约174千米，工程正线共设10个车站，工程建造难度巨大，技术要求高！新京报我们视频的秒拍视频  ,,无,无,无,12/28/19 17:44,紫宝宝的Android,492,130,94,,,,,,,,,,
ImTgXjusV,【兵哥哥让人笑着流泪的话 担心相亲把姑娘吓跑】他们说：任务归来，最大愿望是能喝杯热水；8个人挤在6张床上，却说这样的环境很好，因为有床，有柜子；每天风吹日晒，满脸黝黑，笑称去相亲会把姑娘吓跑…这样一群人，在守护着我们！致敬！中国军视网的微博视频  ,,无,无,无,12/28/19 19:29,紫宝宝的Android,1515,152,226,,,,,,,,,,
ImTzTyjpM,"【没穿披风的超人！越野车扎进池塘辅警砸窗连救5人】23日晚，浙江金华辅警傅进华正在家吃饭，突然屋外传来几声巨响，一越野车扎进附近池塘，车内人正拍打车窗求救。老傅拿起铁锤砸破车窗，不顾寒冷跳入水中，在村民帮助下救出5人。老傅事后回忆，""想想都害怕，但不后悔！"" 人民日报的微博视频  ",,无,无,无,12/28/19 20:16,紫宝宝的Android,631,78,77,,,,,,,,,,
ImTKF5FGr,【北京吸烟人数有363万，成人吸烟人数持续下降】26日，北京市卫健委发布第三次成人烟草调查结果：2019年男性吸烟率为37.1%，比2016年有所降低；女性吸烟率为2.4%，比2016年略有上升。结果显示，酒吧、家庭和公共交通工具二手烟暴露率有所下降，工作场所、餐馆和大学则有所上升！  原图 ,,http://wx4.sinaimg.cn/large/005Y2yg1ly1gaayfvvrl6j30qo0gxjvj.jpg,无,无,12/28/19 20:42,紫宝宝的Android,859,141,197,,,,,,,,,,
ImUnKFsgE,【2019搞笑动物合集，拯救你的不开心】看视频，收割这份快乐回忆~↓↓ 央视新闻的微博视频晚安！  ,,无,无,无,12/28/19 22:19,紫宝宝的Android,1178,589,252,,,,,,,,,,
ImYfDpPA9,【萌娃写作业时求生欲有多强：爸爸别吼我，宝宝会做】江苏常州，一位父亲给孩子辅导作业时教到崩溃，孩子撒娇说道：“爸爸你别吼我了，我给你鼓个掌吧，宝宝会做。”爸爸说，当时也是哭笑不得，教了很多遍都不会，很生气又不敢笑…一手video的秒拍视频早安！  ,,无,无,无,12/29/19 8:10,紫宝宝的Android,5713,906,890,,,,,,,,,,
ImYImBYqe,【我们和你们在一起：民航总医院急诊收到大量奶茶鲜花】民航总医院杨文医生遇害离世。民航总医院急诊大厅一侧设置了杨文医生的悼念场所，不少市民自发地送来鲜花凭吊。医院还不断地收到来自匿名人士给在职医生们送来的水果等零食，表达崇敬和关爱！民航总医院伤医事件：医院急诊收到大量奶茶鲜花  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/005Y2yg1ly1gactbde5l6j31400u0adk.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1gactbe2oqpj31400u0grl.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1gactbeesswj30u01400vu.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1gactbev6z8j31400u0dk0.jpg,http://ww1.sinaimg.cn/large/005Y2yg1ly1gactbvfyrrj30qo0yftbu.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1gactbvtvpzj30qo0yg77c.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1gactbw8z70j30qo0yl40x.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1gactbwnw8zj30qo0yiact.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1gactbwymbij30qo0iwwg4.jpg",无,无,12/29/19 9:20,紫宝宝的Android,3615,227,487,,,,,,,,,,
ImZ7ubZYP,"【最孤独的乡村小学：只有1位老师2名学生，学生却说想在这读到老】四川泸州合江县车辋镇先操小学是一所只有一位老师2名学生的小学，被称为""最孤独的村小""，但它却是两名一年级学生温暖的""家""。听到学生说愿意在先操小学""读到老""，龙启云虽然明知不可能，但还是打心眼里高兴，""如果一直有学生来读书，我就一直教下去！""http://t.cn/AikgiMtQ ",,无,无,无,12/29/19 10:22,紫宝宝的Android,1303,133,190,,,,,,,,,,
ImZ7ubZYP,"【最孤独的乡村小学：只有1位老师2名学生，学生却说想在这读到老】四川泸州合江县车辋镇先操小学是一所只有一位老师2名学生的小学，被称为""最孤独的村小""，但它却是两名一年级学生温暖的""家""。听到学生说愿意在先操小学""读到老""，龙启云虽然明知不可能，但还是打心眼里高兴，""如果一直有学生来读书，我就一直教下去！""红星视频的秒拍视频                                 ",,无,无,无,12/29/19 10:22,紫宝宝的Android,1303,133,190,,,,,,,,,,
ImZBR4fny,【高燃！90秒盘点2019中国的世界冠军】中国跳水“梦之队”世锦赛狂揽12金；中国女排十一连胜卫冕世界杯冠军；徐灿高呼“我为祖国而战”一年三次夺得世界拳王；樊振东拿下乒乓世界杯男单冠军成就三冠王……2019年哪个夺金瞬间最让你难忘？致敬每一位拼搏的中国运动员↓↓人民日报的微博视频  ,,无,无,无,12/29/19 11:37,紫宝宝的Android,933,255,171,,,,,,,,,,
In00Zs5zj,"【轮椅女孩607分考入大学：要过成一朵花】云南昆明的徐瑞阳，2岁时查出脊肌萎缩症，医生断言活不过4岁。但父母不曾放弃，教她用筷子、识字写字…今年，18岁的徐瑞阳以607分成绩考入四川外国语大学。进入大学的她，喜欢唱歌、写稿、逛街，她说，""要把自己过成一朵花""。祝福！央视新闻的微博视频  ",,无,无,无,12/29/19 12:39,紫宝宝的Android,1970,207,226,,,,,,,,,,
In0yN78ku,【男子等候地铁时多次骚扰导盲犬】12月24日，有网友爆料称，在上海地铁静安寺站，一男子多次骚扰工作中的导盲犬。视频中，导盲犬穿着工作服，带着主人等地铁，而一名男子在一旁用脚推狗狗的脚。网友：人不如狗！新民晚报新民网的微博视频 呼吁：遇到导盲犬，请不要打扰！  ,,无,无,无,12/29/19 14:02,紫宝宝的Android,3064,305,481,,,,,,,,,,
In1g7qaTS,【送别！36岁辅警执勤时遭面包车碾压不幸殉职】28日上午10时30分许，湖南常宁市公安局柏坊派出所在开展交通问题顽瘴痼疾整治行动中，一接受检查的面包车突加速逃离，将正协助民警工作的辅警颜文雄挂倒并从其身上碾过，致其当场死亡。犯罪嫌疑人谭某泽已被刑拘！痛心！我局一辅警因公殉职  原图 ,,http://wx4.sinaimg.cn/large/005Y2yg1ly1gadixqlgffj306e0910sp.jpg,无,无,12/29/19 15:49,紫宝宝的Android,972,116,290,,,,,,,,,,
In21gpLBF,【超有爱！警察蜀黍被小学生甜蜜抱击】内蒙古兴安盟的交警刘阳，从2017年开始在某小学附近执行护学任务。每天，孩子们列队过马路，都会和他打招呼、拍手击掌。现在，很多孩子会飞奔着扑到他的怀里。刘阳说，每天这个时候都特别开心。戳视频↓澎湃新闻的微博视频  ,,无,无,无,12/29/19 17:45,紫宝宝的Android,1909,195,180,,,,,,,,,,
In2eVzMzv,"【医院辟谣未对杀医者家属免费治疗】针对网传""杀害杨文医生凶手母亲，已被转到朝阳医院重症监护室，并接受免费医疗""等消息。医院官方称家属自行从民航总医院办理出院，并打999要去朝阳医院。朝阳医院接收病人是责任，按照病情让家属交押金，办理住院，并没有提供免费医疗…央视新闻的微博视频  ",,无,无,无,12/29/19 18:19,紫宝宝的Android,3426,262,486,,,,,,,,,,
In2O2bEd9,【百岁母亲喂生病女儿吃长寿面 端着面颤颤巍巍让人泪目】近日，一段百岁老人过寿时喂生病女儿长寿面的视频让网友泪目。据了解，百岁老人的女儿在1年前生病成植物人，后慢慢恢复意识，但仍然不认识家人。然而，老人病后第一次见母亲，哭得像个受委屈的孩子，哭声让人心碎…我们视频暖心闻的秒拍视频  ,,无,无,无,12/29/19 19:45,紫宝宝的Android,1844,184,158,,,,,,,,,,
