日期,热搜标题,热度,标签,新冠（0/1）,回应,Label-level-1,Label-level-2,Label-level-3
2020年01月19日23点数据,我们的歌总决赛,660102,软新闻-娱乐圈,,,,,
2020年07月29日23点数据,苹果新专利配件连接iPhone和iPad,406012,软新闻-休闲,,,,,
2020年06月20日11点数据,河北新增1例北京关联确诊病例,163839,社会热点-趋势,1,,,,
2020年06月08日11点数据,天天向上,74560,软新闻-娱乐圈,,,,,
2020年11月26日23点数据,金龙泉创始人听障手术后脑死亡,339003,软新闻-娱乐圈,,,,,
2019年11月19日23点数据,香港警方于港中大检获3900枚汽油弹,188827,国际新闻-香港问题,,,,,
2020年07月08日23点数据,高考结束,873315,软新闻-休闲,,,,,
2020年03月11日11点数据,中国境外确诊病例数破3万,308780,社会热点-趋势,1,,,,
2020年06月14日23点数据,向太安慰郭碧婷,717047,软新闻-娱乐圈,,,,,
2020年06月21日23点数据,创造营公演直拍,239326,软新闻-娱乐圈,,,,,
2019年12月05日11点数据,胡歌武汉话,194305,软新闻-娱乐圈,,,,,
2020年04月22日23点数据,蔡卓宜,379855,软新闻-娱乐圈,,,,,
2020年07月31日11点数据,顾佳什么时候离婚,157059,软新闻-娱乐圈,,,,,
2020年09月26日11点数据,滔博回应,238362,软新闻-娱乐圈,,回应,,,
2020年05月25日23点数据,五月天线上演唱会时间,756199,软新闻-娱乐圈,,,,,
2020年10月09日11点数据,大张伟 谢娜是我歌曲创作的灵感,125210,软新闻-娱乐圈,,,,,
2020年03月24日23点数据,意大利疫情重灾区整整一代老年人病逝,752032,国际新闻-国际新闻（与中国无关）,1,,,,
2020年02月07日11点数据,全国累计确诊新型肺炎31161例,1754799,社会热点-趋势,,,,,
2020年10月29日23点数据,MAMA提名,292313,软新闻-娱乐圈,,,,,
2020年04月07日11点数据,邓紫棋UD官宣,1270749,软新闻-娱乐圈,,,,,
2020年01月12日11点数据,李现问周冬雨两边都拔了吗,2781919,软新闻-娱乐圈,,,,,
2020年08月20日11点数据,重庆洪水,158429,社会新闻-灾难,,,,,
2020年04月17日11点数据,青春有你,236522,软新闻-娱乐圈,,,,,
2020年08月27日11点数据,我国首部个人破产法规拟于明年实施,774336,社会政策-政府政策,,,,,
2020年11月23日11点数据,李若彤肌肉线条,468187,软新闻-娱乐圈,,,,,
2020年08月26日11点数据,集美大桥,333787,软新闻-休闲,,,,,
2020年09月03日23点数据,美股,194844,国际新闻-国际新闻（与中国无关）,,,,,
2019年12月19日11点数据,最可爱的表白文案大赛,160817,软新闻-休闲,,,,,
2020年09月13日23点数据,当潮不让,821949,软新闻-娱乐圈,,,,,
2020年05月22日23点数据,北京定都峰云海,377173,软新闻-休闲,,,,,
2020年03月08日11点数据,你磕过最久的一对CP,625924,软新闻-休闲,,,,,
2020年06月13日23点数据,618断货王空气霜,2425745,软新闻-休闲,,,,,
2019年12月04日23点数据,李宇春 艾玛 斯图尔特,1392567,软新闻-娱乐圈,,,,,
2020年11月05日23点数据,辛巴燕窝,244078,软新闻-社会事件,,,,,
2020年01月15日11点数据,电信靓号8888过户每月强制低消1万,157752,社会热点-消费者权益,,,,,
2020年03月17日23点数据,甜味爱情大赏,280726,软新闻-休闲,,,,,
2020年06月25日23点数据,云南沉船获救17人均为中国籍公民,711036,社会热点-社会热点,,,,,
2020年11月04日23点数据,男童遭亲父烟头烫伤双手面临截肢,2682693,社会热点-丑闻,,,,,
2020年02月01日11点数据,军队医疗队里最宅的一组人,260604,软新闻-休闲,,,,,
2019年11月23日23点数据,奖杯当花瓶,646277,软新闻-娱乐圈,,,,,
2020年10月17日11点数据,深圳麦当劳对一次性餐具收费,622298,社会热点-社会热点,,,,,
2020年10月09日11点数据,邓伦国庆没接到伴郎的活儿,3787876,软新闻-娱乐圈,,,,,
2020年12月11日11点数据,邓伦的腿长到无处安放,290970,软新闻-娱乐圈,,,,,
2020年12月19日11点数据,王嘉尔歌词回应夜店传闻,501890,软新闻-娱乐圈,,回应,,,
2020年10月09日11点数据,迪丽热巴办公室大片,141097,软新闻-娱乐圈,,,,,
2020年02月23日23点数据,29岁殉职女医生全家从医,501870,政绩类-模范,,,,,
2020年05月21日23点数据,大爷带鲜花找陶勇医生复诊,788949,软新闻-社会事件,,,,,
2020年01月29日11点数据,安徽新增46例新型肺炎,341088,社会热点-趋势,1,,,,
2020年08月29日11点数据,徐圣恩没出道,246595,软新闻-娱乐圈,,,,,
2019年12月01日11点数据,穿长棉袄怎么上台阶,170881,软新闻-休闲,,,,,
2019年12月27日11点数据,2019年中国游戏女玩家达3亿,88612,社会热点-趋势,,,,,
2020年04月23日11点数据,送乘客1个口罩第二天收到一包,162987,软新闻-休闲,,,,,
2020年09月20日11点数据,300万年冰洞与火山仅隔400米,429747,软新闻-休闲,,,,,
2020年07月05日11点数据,徐艺洋的眼神太虐了,224173,软新闻-娱乐圈,,,,,
2020年10月25日23点数据,于正否认许凯将出演庆余年2,594280,软新闻-娱乐圈,,,,,
2020年01月29日23点数据,互联网公司复工时间表,898330,软新闻-休闲,,,,,
2019年12月29日11点数据,吴亦凡喝水,271089,软新闻-娱乐圈,,,,,
2020年03月04日23点数据,dmzj,546949,软新闻-娱乐圈,,,,,
2020年08月03日23点数据,谢霆锋菜园子塌了,834536,软新闻-娱乐圈,,,,,
2020年04月11日11点数据,火神山雷神山将在15日前关闭,457905,政绩类-爱国节日成就,,,,,
2020年08月22日11点数据,花百万建水上乐园村书记回应质疑,204915,社会热点-丑闻,,回应,,,
2020年06月02日23点数据,欧美明星集体发纯黑图片,3945092,软新闻-娱乐圈,,,,,
2020年06月24日11点数据,东风快递版Mojito,90509,软新闻-娱乐圈,,,,,
2020年12月10日23点数据,时尚先生盛典,570788,软新闻-娱乐圈,,,,,
2020年01月16日23点数据,普京任命梅德韦杰夫新职务,482237,国际新闻-国际新闻（与中国无关）,,,,,
2020年01月28日11点数据,江苏新增23例新型肺炎,827681,社会热点-趋势,,,,,
2020年02月07日11点数据,黑龙江黑河3.8级地震,447091,社会新闻-灾难,,,,,
2020年07月18日23点数据,顾佳打人,377199,软新闻-娱乐圈,,,,,
2020年02月07日23点数据,人一闲下来满脑子都是才华,571225,软新闻-休闲,,,,,
2020年04月02日11点数据,接英国留学生飞机已在9点半起飞,229632,社会热点-社会热点,,,,,
2020年12月07日23点数据,央视曝儿童平衡车安全风险,403353,社会热点-消费者权益,,,,,
2020年05月09日11点数据,辅导员等17小时接85名学生返校,680558,社会热点-社会热点,,,,,
2020年08月25日11点数据,湖人穿黑曼巴球衣致敬科比,157556,软新闻-娱乐圈,,,,,
2020年04月16日11点数据,哈尔滨出现聚集性疫情反弹被约谈,1145735,社会热点-社会热点,1,,,,
2020年05月26日11点数据,上海地铁,352538,软新闻-休闲,,,,,
2020年05月22日11点数据,农村贫困人口减少1109万,140955,社会热点-趋势,,,,,
2019年11月15日23点数据,欧阳娜娜vlog,388444,软新闻-娱乐圈,,,,,
2020年05月30日23点数据,孔雪儿第八,1444926,软新闻-娱乐圈,,,,,
2020年11月25日23点数据,丁辉是打工人的真实写照,720312,软新闻-娱乐圈,,,,,
2020年10月03日11点数据,一诺,230707,软新闻-娱乐圈,,,,,
2020年07月20日11点数据,周深工作室,111838,软新闻-娱乐圈,,,,,
2020年08月16日23点数据,克里姆林宫公开官员2019年收入,1409453,国际新闻-国际新闻（与中国无关）,,,,,
2020年09月11日11点数据,S10抽签仪式时间,140371,软新闻-娱乐圈,,,,,
2020年10月17日11点数据,我驻德使馆提醒防范第二波疫情,241317,国际新闻-国际新闻（与中国相关，非美国）,1,,,,
2020年02月12日23点数据,网课老师抽查作业的方式,508434,软新闻-休闲,,,,,
2020年07月18日23点数据,广州漫展,361835,软新闻-娱乐圈,,,,,
2020年03月26日23点数据,赵丽颖路透,334130,软新闻-娱乐圈,,,,,
2019年11月28日23点数据,四个字期待2020,423863,软新闻-休闲,,,,,
2020年06月24日23点数据,文旅局回应寒山笑世佛表情为原貌,185600,社会热点-社会热点,,回应,,,
2020年12月29日23点数据,老干妈儿子公司被限制高消费,519350,社会热点-经济,,,,,
2020年05月01日11点数据,艾薇儿抗疫公益新歌,127827,软新闻-娱乐圈,1,,,,
2020年02月19日23点数据,国资委回应航空公司重组,366690,社会政策-政府政策,,回应,,,
2020年01月05日11点数据,贾乃亮配音苏大强,186134,软新闻-娱乐圈,,,,,
2020年05月17日11点数据,起底美国去年被关生物研究基地,558834,国际新闻-国际新闻（与中国无关）,,,,,
2020年05月13日11点数据,当代学生回校的第一件事,178253,软新闻-休闲,,,,,
2020年07月18日11点数据,向往的生活,203241,软新闻-娱乐圈,,,,,
2020年06月05日23点数据,金喜爱百想视后,192943,软新闻-娱乐圈,,,,,
2019年12月08日23点数据,女生为什么喜欢披头散发,307071,软新闻-休闲,,,,,
2020年12月20日11点数据,张檬发素颜照回应,3883416,软新闻-娱乐圈,,回应,,,
2020年12月15日11点数据,拜登赢得胜选所需270张选举人票,402912,国际新闻-国际新闻（与中国无关）,,,,,
2020年12月13日11点数据,南京大屠杀每隔12秒就有一人遇难,1670976,社会热点-社会热点,,,,,
2020年08月05日23点数据,ES TES,330273,软新闻-娱乐圈,,,,,
2020年06月12日11点数据,浙江省考,203251,软新闻-休闲,,,,,
2019年12月28日11点数据,浙江美术联考,194732,软新闻-休闲,,,,,
2020年03月31日23点数据,韩国女留学生回国拒隔离被索赔,1406795,社会热点-社会热点,1,,,,
2020年08月19日23点数据,特朗普再次反对邮寄选票,307659,国际新闻-国际新闻（与中国无关）,,,,,
2020年01月20日11点数据,北京确诊2例新型冠状病毒感染肺炎病例,592339,社会热点-趋势,1,,,,
2020年01月18日23点数据,手机里舍不得删的糊照,221858,软新闻-休闲,,,,,
2019年12月11日23点数据,面试官有多看脸,381349,软新闻-休闲,,,,,
2020年04月07日23点数据,美股,377736,国际新闻-国际新闻（与中国无关）,,,,,
2019年11月21日23点数据,陈强 墨墨,1301052,软新闻-娱乐圈,,,,,
2020年06月17日11点数据,THE9六月行程,1267625,软新闻-娱乐圈,,,,,
2020年06月06日11点数据,宋凛周放办公室拥吻,124766,软新闻-娱乐圈,,,,,
2020年09月23日23点数据,被前夫拽上车失联女子亲属发声,575410,社会热点-社会热点,,,,,
2020年05月09日23点数据,谢可寅弹舌rap太拽了,434963,软新闻-娱乐圈,,,,,
2020年04月15日23点数据,民警为查假烟化身渔夫蹲守66天,213238,犯罪与审判,,,,,
2020年12月21日23点数据,邓子昂手术失败崩溃,695596,软新闻-娱乐圈,,,,,
2020年06月09日23点数据,王嘉尔体重,855700,软新闻-娱乐圈,,,,,
2020年01月10日23点数据,金钱高跟鞋,170533,软新闻-休闲,,,,,
2020年07月26日23点数据,周杰伦疯狂翻牌,326977,软新闻-娱乐圈,,,,,
2020年12月25日23点数据,郑嘉颖一家四口合影,928392,软新闻-娱乐圈,,,,,
2020年09月18日23点数据,一90后户籍被永久标注拒服兵役,2375214,社会热点-社会热点,,,,,
2020年02月16日23点数据,首个潜在治疗新冠肺炎药物获批上市,596767,政绩类-爱国节日成就,,,,,
2020年11月07日23点数据,西游记的配音找到了,407229,软新闻-休闲,,,,,
2020年07月30日11点数据,钟晓芹钟晓阳亲吻,144831,软新闻-娱乐圈,,,,,
2020年08月13日11点数据,上海发现一例吉林来沪新冠复阳病例,3425499,社会热点-趋势,1,,,,
2020年06月22日11点数据,河北新增2例北京关联病例,123968,社会热点-趋势,1,,,,
2020年09月18日23点数据,演唱会快回来了,1014884,软新闻-休闲,,,,,
2020年04月27日23点数据,肖战发声,1674436,软新闻-娱乐圈,,明星声明,,,
2019年12月24日11点数据,新娘结婚拍到奶奶偷看化妆,149764,软新闻-休闲,,,,,
2020年02月21日11点数据,烘焙和数学一样,259327,软新闻-休闲,,,,,
2020年09月21日11点数据,NBA,303290,软新闻-娱乐圈,,,,,
2020年10月31日11点数据,教资,972825,软新闻-休闲,,,,,
2020年10月26日23点数据,周震南发声,4717921,软新闻-娱乐圈,,明星声明,,,
2020年09月02日23点数据,外交部回应印度士兵在边界冲突中丧生,212110,国际新闻-国际新闻（与中国相关，非美国）,,回应,,,
2020年09月01日11点数据,李湘力挺王岳伦,66492,软新闻-娱乐圈,,,,,
2020年04月26日11点数据,罗志祥妈妈,878206,软新闻-娱乐圈,,,,,
2020年12月18日11点数据,月球上以中国元素命名的地方有27个,807867,政绩类-爱国节日成就,,,,,
2020年06月14日23点数据,2021QS世界大学排名,1151453,软新闻-休闲,,,,,
2020年11月06日11点数据,华为起诉美政府16个部门,1463882,国际新闻-中美关系,,,,,
2020年12月12日11点数据,邓超终于见到了卖藕老奶奶,151044,软新闻-娱乐圈,,,,,
2020年02月20日23点数据,因封路在面包车上生存26天,944978,软新闻-休闲,,,,,
2020年12月01日23点数据,李冰冰任泉晒旧照为母校庆生,642624,软新闻-娱乐圈,,,,,
2020年05月15日23点数据,彭昱畅的自拍和他拍,1673685,软新闻-娱乐圈,,,,,
2020年06月13日23点数据,教育部要求严格国际学生申请资格,3856874,社会政策-政府政策,,,,,
2020年12月12日23点数据,美国新冠病毒超级传播源,2491175,国际新闻-国际新闻（与中国无关）,,,,,
2020年01月18日11点数据,张凯毅回来了,107426,软新闻-娱乐圈,,,,,
2020年09月14日23点数据,新加坡航空推出无目的地航班,196753,国际新闻-国际新闻（与中国无关）,,,,,
2019年12月28日23点数据,中国立法防医闹,224467,社会政策-政府政策,,,,,
2020年11月21日11点数据,威信禁遛狗新政已暂停执行,185352,社会政策-本地政策,,,,,
2020年08月12日11点数据,李尖尖吃醋,151122,软新闻-娱乐圈,,,,,
2020年09月12日11点数据,蔡明配音十七岁少女,196511,软新闻-娱乐圈,,,,,
2020年12月01日11点数据,美股,109300,国际新闻-国际新闻（与中国无关）,,,,,
2020年06月27日11点数据,10天后高考,544642,软新闻-休闲,,,,,
2020年01月21日11点数据,陈可辛表示会和易烊千玺合作,837673,软新闻-娱乐圈,,,,,
2020年03月20日23点数据,多国宣布禁止邮轮停靠,619762,国际新闻-国际新闻（与中国无关）,,,,,
2020年07月03日23点数据,母校免费邮寄行李还手写500份祝福,173978,软新闻-休闲,,,,,
2020年07月11日11点数据,火箭少女穿创1初舞台服装,193572,软新闻-娱乐圈,,,,,
2020年09月16日23点数据,陈一鸣求婚李思雨成功,231075,软新闻-娱乐圈,,,,,
2020年08月04日23点数据,关晓彤霸气臭脸妆,1915145,软新闻-娱乐圈,,,,,
2020年11月28日23点数据,嫦娥五号顺利进入环月轨道,318671,政绩类-爱国节日成就,,,,,
2020年08月04日11点数据,31省份养老金已全部上涨,228833,社会政策-政府政策,,,,,
2020年08月10日23点数据,花木兰确认内地影院上映,272009,软新闻-娱乐圈,,,,,
2019年12月04日23点数据,2019MAMA,504585,软新闻-娱乐圈,,,,,
2020年06月02日11点数据,广东幼儿园返校,133863,软新闻-休闲,,,,,
2020年09月05日11点数据,美国疫情,283664,国际新闻-国际新闻（与中国无关）,1,,,,
2020年12月15日23点数据,毕滢,531577,软新闻-娱乐圈,,,,,
2019年12月23日23点数据,朋友圈可以设置朋友权限了,1216668,软新闻-休闲,,,,,
2020年04月25日23点数据,谢可寅烟嗓,793123,软新闻-娱乐圈,,,,,
2020年08月25日23点数据,耿爽在联合国批驳美英涉疆错误言论,972908,国际新闻-中美关系,,,,,
2020年09月05日23点数据,海浪来时黄明昊一把抱起安崎,917322,软新闻-娱乐圈,,,,,
2020年02月01日23点数据,17日D615次3车厢乘客,1743790,社会热点-趋势,,,,,
2020年09月26日11点数据,沂水寻青岛一无症状感染者密接者同车人,2650089,社会热点-趋势,,,,,
2020年07月30日11点数据,大连暂停结婚颁证服务,1283460,社会政策-本地政策,,,,,
2020年08月13日23点数据,夏天啊这可是,3404973,软新闻-休闲,,,,,
2020年11月13日11点数据,藏族的康巴汉子有多帅,161343,软新闻-休闲,,,,,
2020年12月09日23点数据,夹娃娃机是怎么赚钱的,672946,软新闻-休闲,,,,,
2020年10月25日11点数据,九寨沟火花海修复3年后开放,105456,软新闻-休闲,,,,,
2020年05月14日23点数据,武汉全员新冠病毒筛查进展如何,969457,社会热点-趋势,,,,,
2020年12月18日23点数据,吴亦凡马里奥造型,365128,软新闻-娱乐圈,,,,,
2020年06月15日23点数据,当伞兵听到民航乘机安全须知,96042,软新闻-休闲,,,,,
2020年10月28日11点数据,爆浆一口泡芙,303797,软新闻-休闲,,,,,
2020年07月13日11点数据,赵小棠道歉,2407914,软新闻-娱乐圈,,,,,
2020年06月06日11点数据,希腊,163524,国际新闻-国际新闻（与中国无关）,,,,,
2019年12月16日11点数据,武汉大学清退92名国际学生,691081,社会热点-社会热点,,,,,
2020年05月08日23点数据,吴磊晒健身照,248404,软新闻-娱乐圈,,,,,
2020年04月15日23点数据,中国已向世卫组织捐款2000万美元,988727,国际新闻-国际新闻（与中国相关，非美国）,,,,,
2020年12月06日11点数据,金立魅族暗中给手机植入木马,782413,软新闻-休闲,,,,,
2020年09月09日11点数据,钟南山哽咽说什么都压不倒中国人,243371,政绩类-模范,,,,,
2019年12月26日23点数据,熊猫互娱投资人否认已获王思聪赔偿,682628,软新闻-社会事件,,,,,
2019年12月29日11点数据,杨幂粉色羽毛礼裙,1244569,软新闻-娱乐圈,,,,,
2020年08月23日23点数据,秘鲁首都夜店发生踩踏事故,128482,国际新闻-国际新闻（与中国无关）,,,,,
2020年12月15日11点数据,王菲的有机生活,2234650,软新闻-娱乐圈,,,,,
2020年09月07日11点数据,美国新冠肺炎超627万例,89133,国际新闻-国际新闻（与中国无关）,,,,,
2020年02月22日11点数据,黑龙江无新增确诊病例,309908,社会热点-趋势,1,,,,
2020年08月20日23点数据,牛奶咖啡微博评论,198811,软新闻-休闲,,,,,
2020年07月31日23点数据,莫言 晚熟的人,360815,软新闻-娱乐圈,,,,,
2020年01月17日11点数据,钻石流苏高跟鞋,129274,软新闻-休闲,,,,,
2020年01月13日23点数据,深圳国企一晚喝16万茅台酒,453895,社会热点-丑闻,,,,,
2019年12月12日11点数据,2020春运部分车票开售日已售罄,133716,软新闻-休闲,,,,,
2019年12月29日11点数据,刘在石获得大赏,245431,软新闻-娱乐圈,,,,,
2020年06月15日11点数据,HBO下架乱世佳人,379691,软新闻-娱乐圈,,,,,
2020年09月28日11点数据,虞书欣 谢谢大家来到我们的婚礼,134265,软新闻-娱乐圈,,,,,
2020年03月22日23点数据,火龙果遇害现场,305623,软新闻-休闲,,,,,
2020年08月25日23点数据,七夕海棠酥,455182,软新闻-休闲,,,,,
2019年11月21日23点数据,赖冠霖解约失败,703216,软新闻-娱乐圈,,,,,
2020年05月17日11点数据,特朗普这回说漏嘴了,828958,国际新闻-国际新闻（与中国无关）,,,,,
2020年11月22日23点数据,大不了回家开个店,1071914,软新闻-休闲,,,,,
2020年06月13日23点数据,LPL夏季赛,111814,软新闻-娱乐圈,,,,,
2020年09月16日23点数据,刘涛 我和家人很好,648443,软新闻-娱乐圈,,,,,
2020年04月01日23点数据,看节目挖到的宝藏潜力股,288637,软新闻-休闲,,,,,
2020年09月13日11点数据,网友为李汶翰点歌算什么男人,326779,软新闻-娱乐圈,,,,,
2020年11月18日11点数据,苹果客服回应iPhone12屏幕发绿,223816,软新闻-休闲,,回应,,,
2020年05月11日23点数据,华晨宇专辑,445168,软新闻-娱乐圈,,,,,
2020年08月05日11点数据,黎巴嫩总理证实2700吨硝酸铵爆炸,505364,国际新闻-国际新闻（与中国无关）,,,,,
2020年09月14日11点数据,44岁的黄奕,94168,软新闻-娱乐圈,,,,,
2020年09月08日23点数据,你选原味鸡还是脆皮鸡,1596874,软新闻-休闲,,,,,
2020年04月26日11点数据,无证据表明新冠肺炎治愈者可免疫,846210,社会热点-社会热点,1,,,,
2020年01月02日11点数据,2020一起安慕希,1675271,软新闻-休闲,,,,,
2020年08月26日11点数据,香港反对派议员林卓廷及许智峰被捕,439056,国际新闻-香港问题,,,,,
2020年01月10日23点数据,因机票作废躲过坠机航班,977541,软新闻-休闲,,,,,
2020年10月26日23点数据,外交部宣布制裁对台军售美国企业个人,510254,国际新闻-中美关系,,,,,
2020年12月21日23点数据,江南百景图崩了,458785,软新闻-休闲,,,,,
2020年06月11日23点数据,南方汛情,1315642,社会新闻-灾难,,,,,
2020年03月29日11点数据,广东徐闻有片菠萝的海,695987,软新闻-休闲,,,,,
2020年12月08日11点数据,长相酷似周杰伦摊主回应,1069156,软新闻-娱乐圈,,回应,,,
2020年12月12日11点数据,斗罗大陆,769950,软新闻-娱乐圈,,,,,
2020年05月02日11点数据,天霸走了,426960,软新闻-娱乐圈,,,,,
2019年11月20日11点数据,中学回应招聘名校博士教高中,607317,社会热点-社会热点,,回应,,,
2020年05月30日11点数据,美国白宫已禁止人员出入,1712310,国际新闻-国际新闻（与中国无关）,,,,,
2020年05月11日23点数据,停车忘挂档司机高架追车跑,242159,软新闻-休闲,,,,,
2020年01月20日23点数据,培养一个医生有多难,1975214,软新闻-休闲,,,,,
2020年01月15日11点数据,9958回应吴花燕事件,123495,软新闻-社会事件,,回应,,,
2020年12月11日11点数据,西南交大,666253,软新闻-休闲,,,,,
2020年10月18日11点数据,于鑫慧工作单位发布情况说明,404216,社会热点-社会热点,,,,,
2020年06月20日23点数据,黄果树瀑布的洪荒之力,406164,软新闻-休闲,,,,,
2020年02月12日11点数据,日本邮轮确诊174例新冠肺炎,1206539,国际新闻-国际新闻（与中国无关）,,,,,
2020年01月28日11点数据,河南新增确诊40例新型肺炎,593476,社会热点-趋势,,,,,
2019年12月10日11点数据,蝴蝶造型美甲,175352,软新闻-休闲,,,,,
2020年06月27日11点数据,今天星期几 好想吻你呀,1824760,软新闻-休闲,,,,,
2020年12月10日11点数据,日本网友请愿删除大雄进静香浴室戏份,164529,软新闻-娱乐圈,,,,,
2020年04月02日11点数据,世界自闭症日,229590,软新闻-休闲,,,,,
2020年09月04日23点数据,撒野,851423,软新闻-休闲,,,,,
2019年12月07日11点数据,欧阳娜娜陈飞宇对视,103653,软新闻-娱乐圈,,,,,
2020年06月14日11点数据,暮白首,398176,软新闻-娱乐圈,,,,,
2020年10月04日23点数据,建厚回来了,273187,软新闻-娱乐圈,,,,,
2020年09月22日23点数据,丁钰琼张子凡,407577,软新闻-娱乐圈,,,,,
2020年09月01日23点数据,特朗普考虑限制中国留学生,289419,国际新闻-中美关系,,,,,
2020年07月20日11点数据,全国影院复工首日票房破百万,267521,社会热点-趋势,,,,,
2020年12月11日23点数据,中国向世卫申请国家消除疟疾认证,825444,政绩类-爱国节日成就,,,,,
2020年05月06日23点数据,重庆酒店的床头礼物,321551,软新闻-休闲,,,,,
2020年08月14日11点数据,开拓者 篮网,123215,软新闻-娱乐圈,,,,,
2020年03月10日23点数据,具荷拉生前亲笔信,2247709,软新闻-娱乐圈,,,,,
2020年01月02日11点数据,恋爱中最舒服的关系是什么,275479,软新闻-休闲,,,,,
2020年03月26日11点数据,刘维在路上,1309155,软新闻-娱乐圈,,,,,
2020年07月15日11点数据,山西高平发现疑似长平之战尸骨坑,282891,社会热点-社会热点,,,,,
2020年04月03日11点数据,油价,256353,社会热点-趋势,,,,,
2020年01月16日11点数据,海王动画剧,90847,软新闻-娱乐圈,,,,,
2020年01月07日11点数据,张一山兔耳朵发卡,169186,软新闻-娱乐圈,,,,,
2020年12月17日11点数据,用心只做一件事,1296984,软新闻-休闲,,,,,
2020年11月03日11点数据,男子跳化粪池救3岁娃留后遗症,293254,社会热点-社会热点,,,,,
2020年12月06日23点数据,李斯丹妮教腾格尔唱耶斯莫拉,390951,软新闻-娱乐圈,,,,,
2019年12月23日11点数据,朱丹古力娜扎二人唱,141527,软新闻-娱乐圈,,,,,
2020年03月12日11点数据,现有贫困人口551万人贫困县52个,264800,社会热点-趋势,,,,,
2020年06月11日11点数据,盲人练一年字才办成离婚,447768,软新闻-休闲,,,,,
2020年11月22日11点数据,小雪,1065577,软新闻-休闲,,,,,
2020年02月10日11点数据,人教社免费公布全学段教材电子版,312703,软新闻-休闲,,,,,
2020年04月13日23点数据,美国FDA紧急授权大量中企KN95口罩,265983,国际新闻-中美关系,,,,,
2020年12月30日11点数据,心疼冯工,266842,软新闻-娱乐圈,,,,,
2019年12月15日11点数据,唐顿庄园,362788,软新闻-休闲,,,,,
2020年01月21日11点数据,被迫相亲是什么体验,109246,软新闻-休闲,,,,,
2020年08月01日23点数据,原来河马在水里是这样的,213401,软新闻-休闲,,,,,
2020年12月11日11点数据,湖南辣条专业班首次考核,244500,软新闻-休闲,,,,,
2020年01月31日11点数据,湖北累计收到捐赠物资615.43万件,135920,社会热点-趋势,,,,,
2020年07月22日23点数据,锦绣南歌,602855,软新闻-娱乐圈,,,,,
2020年03月09日11点数据,股市暴跌,1207161,社会热点-经济,,,,,
2020年08月09日11点数据,31省区市新增23例确诊,108784,社会热点-趋势,,,,,
2019年11月23日23点数据,李宇春莲花裙献唱哪吒,1581326,软新闻-娱乐圈,,,,,
2020年09月26日23点数据,快乐大本营,1066413,软新闻-娱乐圈,,,,,
2020年09月07日11点数据,海神登陆韩国南部沿海,126207,国际新闻-国际新闻（与中国无关）,,,,,
2020年09月06日23点数据,山东沂水婚俗改革,245814,社会政策-本地政策,,,,,
2019年12月27日11点数据,高三学霸同时被5所世界名校录取,658061,社会热点-社会热点,,,,,
2020年09月22日23点数据,兰芊翊被当众泼咖啡,289080,软新闻-娱乐圈,,,,,
2020年04月12日23点数据,阿信,668970,软新闻-娱乐圈,,,,,
2020年08月03日23点数据,孙俪妹妹艺考成绩,3699922,软新闻-娱乐圈,,,,,
2020年05月22日23点数据,给你留下童年阴影的影视剧,201370,软新闻-休闲,,,,,
2020年12月31日11点数据,2020最后一天,989836,软新闻-休闲,,,,,
2020年06月18日11点数据,李宇春马甲线,135134,软新闻-娱乐圈,,,,,
2020年06月04日11点数据,韩国首家机器人咖啡馆,337593,国际新闻-国际新闻（与中国无关）,,,,,
2020年04月28日11点数据,中国第四个新冠疫苗获临床批件,732037,政绩类-爱国节日成就,1,,,,
2019年12月09日23点数据,大麦抢票,263000,软新闻-娱乐圈,,,,,
2020年11月03日23点数据,伙同现女友用去世前女友病历骗捐款,875122,社会热点-丑闻,,,,,
2020年02月05日11点数据,寻504个车次航班同行乘客,1346784,社会热点-趋势,,,,,
2020年12月27日11点数据,伴侣是扶弟魔该不该分手,305949,软新闻-休闲,,,,,
2020年03月29日23点数据,李心艾,554104,软新闻-娱乐圈,,,,,
2020年07月27日11点数据,淮河发生流域性较大洪水,100496,社会新闻-灾难,,,,,
2020年06月30日11点数据,北京19天内新增325例确诊,104193,社会热点-趋势,,,,,
2020年12月25日11点数据,杨安泽竞选纽约市长,246917,国际新闻-国际新闻（与中国无关）,,,,,
2020年06月02日23点数据,深圳个人破产条例征求意见,373614,社会政策-本地政策,,,,,
2020年06月08日11点数据,邓伦男团制服,233467,软新闻-娱乐圈,,,,,
2020年11月29日11点数据,1分钟看甘孜有多美,465978,软新闻-娱乐圈,,,,,
2020年08月07日23点数据,李子柒秋风送葵,1287149,软新闻-娱乐圈,,,,,
2020年09月19日11点数据,优先放开室外举办大型营业性演出,168133,软新闻-娱乐圈,,,,,
2020年06月10日23点数据,杨幂水亮大眼,1861204,软新闻-娱乐圈,,,,,
2020年02月06日23点数据,匈牙利辱华运动员被禁赛一年,1260288,国际新闻-国际新闻（与中国无关）,,,,,
2020年02月01日11点数据,湖南延迟企业复工和学校开学,711175,社会政策-本地政策,,,,,
2020年07月10日11点数据,文在寅,1286077,国际新闻-国际新闻（与中国无关）,,,,,
2020年09月18日23点数据,考虫崩了,692020,软新闻-休闲,,,,,
2020年09月21日11点数据,孕妇地铁临盆众人援助母子平安,298903,社会热点-社会热点,,,,,
2020年09月07日23点数据,像极了被生活掌控的你,164637,软新闻-休闲,,,,,
